OrderID,EmployeeID,CustomerName,Region,Category,Sales,Profit,Discount,Date
1001,35,Neha Kapoor,West,Software,4637.96,909.99,0.05,10-10-2024
1002,32,Ananya Gupta,East,Software,2816.7,402.62,0.12,15-02-2022
1003,44,Rahul Sharma,West,Office Supplies,2227.48,205.87,0.16,28-11-2021
1004,36,Neha Kapoor,East,Services,596.44,142.91,0.02,14-01-2024
1005,53,Simran Kaur,South,Software,6636.08,983.23,0.16,09-07-2020
1006,38,Priya Singh,West,Furniture,3408.96,566.95,0.09,23-12-2022
1007,45,Karan Jain,East,Office Supplies,7177.12,747.74,0.05,04-09-2020
1008,93,Priya Singh,East,Electronics,7557.37,1815.1,0.14,27-01-2021
1009,28,Simran Kaur,East,Services,9777.77,1514.84,0.06,24-07-2020
1010,25,Rohit Verma,South,Office Supplies,2204.69,116.47,0.11,15-07-2021
1011,6,Rahul Sharma,East,Furniture,6559.76,1315.62,0.02,26-01-2020
1012,74,Rohit Verma,West,Software,4684.45,406.95,0.01,30-10-2024
1013,62,Ananya Gupta,North,Software,5171.59,855.4,0.14,06-11-2020
1014,20,Neha Kapoor,East,Electronics,9942.22,732.65,0.15,26-05-2023
1015,77,Neha Kapoor,South,Services,4113.59,953.12,0.06,20-04-2023
1016,55,Rohit Verma,North,Services,9621.03,672,0.15,05-07-2023
1017,28,Rohit Verma,North,Furniture,2778.72,445.7,0.03,16-04-2022
1018,58,Neha Kapoor,West,Office Supplies,810.08,87.18,0.06,26-10-2024
1019,59,Ananya Gupta,South,Office Supplies,7984.37,1397.36,0.13,09-02-2021
1020,55,Ananya Gupta,South,Furniture,9129.91,1965.91,0.01,05-12-2020
1021,40,Neha Kapoor,East,Software,1681.36,315.65,0.14,11-07-2021
1022,65,Amit Bansal,West,Software,1264.2,73.29,0.09,22-10-2021
1023,78,Rohit Verma,North,Electronics,2674.78,494.46,0.17,17-04-2023
1024,3,Rohit Verma,North,Furniture,4969.76,896.06,0.18,06-01-2021
1025,75,Karan Jain,West,Electronics,4965.1,653.75,0.06,02-08-2020
1026,21,Sneha Patel,West,Software,3238.07,774.02,0.16,31-01-2023
1027,5,Simran Kaur,North,Office Supplies,2897.79,212.07,0.15,06-11-2024
1028,66,Rahul Sharma,West,Software,1014.94,155.98,0.12,17-10-2022
1029,81,Simran Kaur,North,Furniture,3037.03,231.43,0.06,08-12-2024
1030,90,Simran Kaur,North,Electronics,9744.89,1673.92,0.05,20-11-2020
1031,40,Amit Bansal,North,Services,4375.91,415.45,0.17,20-08-2020
1032,60,Ananya Gupta,South,Software,9360.2,1014.39,0.14,30-04-2022
1033,62,Simran Kaur,South,Software,5737.02,726.98,0.18,06-11-2022
1034,96,Arjun Mehta,North,Office Supplies,7840.41,1731.81,0.07,01-06-2024
1035,65,Rohit Verma,North,Office Supplies,7397.48,1608.92,0.12,13-09-2023
1036,63,Arjun Mehta,West,Services,5101.24,594.23,0.15,11-02-2022
1037,59,Sneha Patel,South,Furniture,5932.08,573.71,0.16,30-03-2020
1038,41,Simran Kaur,West,Software,9889.93,2061.84,0.13,07-11-2020
1039,64,Rahul Sharma,South,Services,9670.86,1125.68,0.02,26-09-2024
1040,57,Ananya Gupta,West,Electronics,7363.22,971.91,0.13,12-11-2020
1041,10,Simran Kaur,East,Office Supplies,6420.96,831.49,0.02,03-11-2021
1042,87,Amit Bansal,West,Office Supplies,6454.59,1468.34,0.1,13-01-2023
1043,5,Neha Kapoor,North,Furniture,6496.03,1521.28,0.2,09-03-2024
1044,12,Karan Jain,North,Electronics,4714.95,890.18,0.18,04-04-2020
1045,42,Rahul Sharma,East,Office Supplies,4060.99,321.28,0.11,05-03-2023
1046,88,Arjun Mehta,South,Furniture,1250.2,280.25,0.12,08-05-2021
1047,64,Neha Kapoor,South,Furniture,4880.92,491.97,0.05,20-01-2020
1048,60,Rohit Verma,South,Electronics,4696.43,559.41,0.12,01-08-2023
1049,55,Rohit Verma,West,Office Supplies,2392.56,303.71,0.1,30-04-2021
1050,49,Neha Kapoor,East,Services,3310.79,628.57,0,26-08-2024
1051,85,Karan Jain,East,Electronics,5876.33,1099.81,0.15,10-04-2020
1052,78,Simran Kaur,East,Furniture,6267.12,754.96,0.13,25-06-2023
1053,33,Arjun Mehta,North,Electronics,3434.86,474.58,0.12,08-02-2024
1054,17,Ananya Gupta,East,Office Supplies,7601.07,647.06,0.03,09-01-2023
1055,47,Amit Bansal,East,Furniture,2941.22,632.18,0.1,09-07-2024
1056,38,Sneha Patel,North,Software,9647.49,753.96,0.19,27-10-2024
1057,87,Karan Jain,East,Electronics,8011.48,422.88,0.11,20-07-2022
1058,48,Rohit Verma,West,Office Supplies,1529.29,147.98,0.01,15-12-2024
1059,72,Sneha Patel,South,Electronics,6536.34,933.74,0.14,22-08-2023
1060,53,Ananya Gupta,South,Electronics,9489.48,1052.13,0.1,18-07-2020
1061,31,Amit Bansal,South,Software,4809.62,885.44,0.15,11-01-2023
1062,54,Neha Kapoor,South,Software,6721.76,1456.86,0.12,26-07-2021
1063,5,Sneha Patel,South,Software,4724.61,459.34,0.07,05-11-2023
1064,48,Amit Bansal,East,Electronics,4282.33,376.68,0.02,02-10-2024
1065,59,Ananya Gupta,South,Services,9725.39,584.65,0.07,14-09-2020
1066,73,Priya Singh,North,Services,2468,229.99,0.17,03-11-2021
1067,100,Arjun Mehta,North,Office Supplies,8654.86,683.19,0.03,28-05-2021
1068,23,Ananya Gupta,North,Furniture,641.17,133.36,0.05,25-10-2021
1069,3,Arjun Mehta,East,Electronics,1704.21,228.69,0.02,10-05-2020
1070,61,Simran Kaur,East,Services,6139.83,862.04,0.04,13-06-2023
1071,6,Amit Bansal,East,Software,6611.74,371.78,0.2,01-10-2024
1072,52,Karan Jain,North,Software,7267.81,1008.14,0.18,21-10-2021
1073,78,Arjun Mehta,North,Furniture,3112.65,549.74,0.11,27-10-2021
1074,49,Neha Kapoor,East,Software,5302.74,721.38,0.16,22-08-2020
